Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,1VYW,7RWF,5A14,5IF1,1W98
1,ligand_4648,-10.19,-12.490,-12.590,-15.17,-10.21,1.816,5,-12.82,-15.17,-12.59,-10.21,-11.66
2,ligand_4817,-10.19,-12.058,-11.620,-14.84,-10.23,1.722,5,-12.28,-14.84,-11.32,-10.23,-11.62
3,ligand_7444,-11.12,-11.814,-11.160,-13.95,-10.75,1.382,5,-11.16,-13.95,-12.45,-10.75,-10.76
4,ligand_4647,-14.74,-11.702,-11.160,-14.80,-10.11,1.796,5,-14.80,-11.16,-11.31,-10.11,-11.13
5,ligand_4348,-12.39,-11.632,-11.780,-12.50,-10.33,0.900,5,-12.38,-12.50,-11.78,-10.33,-11.17
6,ligand_591,-12.89,-11.531,-12.030,-13.11,-9.63,1.501,5,-13.11,-12.59,-12.03,-10.29,-9.63
7,ligand_5808,-14.59,-11.494,-10.820,-14.59,-9.99,1.791,5,-14.59,-10.81,-11.26,-9.99,-10.82
8,ligand_339,-10.21,-11.456,-11.430,-12.40,-10.32,0.780,5,-11.90,-12.40,-11.43,-10.32,-11.23
9,ligand_2126,-11.92,-11.454,-11.440,-12.38,-10.31,0.774,5,-11.89,-12.38,-11.44,-10.31,-11.25
10,ligand_4318,-14.14,-11.200,-10.970,-14.24,-9.56,1.832,5,-14.24,-9.56,-10.97,-10.00,-11.23
11,ligand_5336,-12.59,-11.138,-10.800,-12.43,-9.65,1.132,5,-12.43,-10.80,-10.70,-9.65,-12.11
12,ligand_5600,-14.12,-11.087,-10.810,-14.16,-9.66,1.806,5,-14.16,-9.66,-10.81,-9.88,-10.93
13,ligand_1868,-11.5,-10.498,-10.580,-13.04,-8.58,1.883,5,-11.52,-13.04,-10.58,-8.78,-8.58
14,ligand_5635,-11.62,-10.493,-10.050,-12.58,-8.60,1.604,5,-11.65,-9.58,-12.58,-8.60,-10.05
15,ligand_5694,-10.73,-10.352,-10.780,-12.34,-8.16,1.876,5,-10.78,-11.84,-12.34,-8.16,-8.65
16,ligand_4180,-10.1,-10.126,-10.130,-11.92,-8.26,1.478,5,-10.13,-11.17,-11.92,-8.26,-9.15
17,ligand_4860,-11.19,-10.091,-9.914,-12.15,-8.09,1.617,5,-11.19,-9.11,-12.15,-8.09,-9.91
18,ligand_3510,-10.93,-10.038,-10.620,-12.04,-8.03,1.675,5,-10.91,-12.04,-10.62,-8.03,-8.59
19,ligand_1637,-11.34,-10.020,-10.050,-11.24,-9.13,0.911,5,-11.24,-9.14,-10.54,-9.13,-10.05
20,ligand_7225,-10.71,-9.985,-10.350,-10.70,-8.57,0.895,5,-10.70,-10.66,-10.35,-8.57,-9.64
21,ligand_7017,-10.66,-9.902,-10.360,-10.70,-8.63,0.936,5,-10.70,-10.63,-10.36,-8.63,-9.19
22,ligand_4406,-10.75,-9.877,-10.120,-10.80,-8.54,0.881,5,-10.80,-10.41,-10.12,-8.54,-9.51
23,ligand_7506,-10.65,-9.802,-10.370,-11.41,-7.94,1.447,5,-10.63,-10.37,-11.41,-7.94,-8.66
24,ligand_3870,-11.08,-9.787,-10.440,-11.04,-8.09,1.266,5,-11.04,-10.44,-10.55,-8.09,-8.82
25,ligand_7391,-11.09,-9.764,-10.600,-11.13,-7.94,1.602,5,-11.04,-11.13,-10.60,-7.94,-8.11
26,ligand_4377,-10.52,-9.724,-10.140,-12.00,-7.57,1.734,5,-12.00,-10.14,-10.43,-8.48,-7.57
27,ligand_3263,-10.62,-9.712,-9.786,-10.61,-8.88,0.780,5,-10.61,-8.88,-10.32,-8.96,-9.79
28,ligand_3134,-10.7,-9.699,-10.590,-10.96,-7.78,1.473,5,-10.72,-10.96,-10.59,-7.78,-8.45
29,ligand_3855,-10.69,-9.697,-9.732,-11.28,-8.17,1.331,5,-10.71,-11.28,-9.73,-8.17,-8.59
30,ligand_6031,-10.6,-9.694,-10.520,-11.19,-7.77,1.512,5,-10.60,-11.19,-10.52,-8.39,-7.77
31,ligand_345,-10.15,-9.682,-10.140,-11.76,-7.62,1.703,5,-10.14,-10.61,-11.76,-7.62,-8.28
32,ligand_6508,-10.28,-9.682,-9.775,-12.21,-7.73,1.766,5,-10.36,-12.21,-9.78,-7.73,-8.33
33,ligand_50,-10.5,-9.679,-10.050,-11.09,-8.23,1.277,5,-10.05,-11.09,-10.57,-8.46,-8.23
34,ligand_3155,-10.77,-9.670,-10.450,-11.20,-7.52,1.611,5,-10.77,-11.20,-10.45,-7.52,-8.41
