Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,Receptor,Affinity
1,ligand_4648,-10.19,-12.49,-12.59,-15.17,-10.21,1.816,5,1VYW,-12.82
1,ligand_4648,-10.19,-12.49,-12.59,-15.17,-10.21,1.816,5,7RWF,-15.17
1,ligand_4648,-10.19,-12.49,-12.59,-15.17,-10.21,1.816,5,5A14,-12.59
1,ligand_4648,-10.19,-12.49,-12.59,-15.17,-10.21,1.816,5,5IF1,-10.21
1,ligand_4648,-10.19,-12.49,-12.59,-15.17,-10.21,1.816,5,1W98,-11.66
2,ligand_4817,-10.19,-12.058,-11.62,-14.84,-10.23,1.722,5,1VYW,-12.28
2,ligand_4817,-10.19,-12.058,-11.62,-14.84,-10.23,1.722,5,7RWF,-14.84
2,ligand_4817,-10.19,-12.058,-11.62,-14.84,-10.23,1.722,5,5A14,-11.32
2,ligand_4817,-10.19,-12.058,-11.62,-14.84,-10.23,1.722,5,5IF1,-10.23
2,ligand_4817,-10.19,-12.058,-11.62,-14.84,-10.23,1.722,5,1W98,-11.62
3,ligand_7444,-11.12,-11.814,-11.16,-13.95,-10.75,1.382,5,1VYW,-11.16
3,ligand_7444,-11.12,-11.814,-11.16,-13.95,-10.75,1.382,5,7RWF,-13.95
3,ligand_7444,-11.12,-11.814,-11.16,-13.95,-10.75,1.382,5,5A14,-12.45
3,ligand_7444,-11.12,-11.814,-11.16,-13.95,-10.75,1.382,5,5IF1,-10.75
3,ligand_7444,-11.12,-11.814,-11.16,-13.95,-10.75,1.382,5,1W98,-10.76
4,ligand_4647,-14.74,-11.702,-11.16,-14.8,-10.11,1.796,5,1VYW,-14.8
4,ligand_4647,-14.74,-11.702,-11.16,-14.8,-10.11,1.796,5,7RWF,-11.16
4,ligand_4647,-14.74,-11.702,-11.16,-14.8,-10.11,1.796,5,5A14,-11.31
4,ligand_4647,-14.74,-11.702,-11.16,-14.8,-10.11,1.796,5,5IF1,-10.11
4,ligand_4647,-14.74,-11.702,-11.16,-14.8,-10.11,1.796,5,1W98,-11.13
5,ligand_4348,-12.39,-11.632,-11.78,-12.5,-10.33,0.9,5,1VYW,-12.38
5,ligand_4348,-12.39,-11.632,-11.78,-12.5,-10.33,0.9,5,7RWF,-12.5
5,ligand_4348,-12.39,-11.632,-11.78,-12.5,-10.33,0.9,5,5A14,-11.78
5,ligand_4348,-12.39,-11.632,-11.78,-12.5,-10.33,0.9,5,5IF1,-10.33
5,ligand_4348,-12.39,-11.632,-11.78,-12.5,-10.33,0.9,5,1W98,-11.17
6,ligand_591,-12.89,-11.531,-12.03,-13.11,-9.63,1.501,5,1VYW,-13.11
6,ligand_591,-12.89,-11.531,-12.03,-13.11,-9.63,1.501,5,7RWF,-12.59
6,ligand_591,-12.89,-11.531,-12.03,-13.11,-9.63,1.501,5,5A14,-12.03
6,ligand_591,-12.89,-11.531,-12.03,-13.11,-9.63,1.501,5,5IF1,-10.29
6,ligand_591,-12.89,-11.531,-12.03,-13.11,-9.63,1.501,5,1W98,-9.63
7,ligand_5808,-14.59,-11.494,-10.82,-14.59,-9.99,1.791,5,1VYW,-14.59
7,ligand_5808,-14.59,-11.494,-10.82,-14.59,-9.99,1.791,5,7RWF,-10.81
7,ligand_5808,-14.59,-11.494,-10.82,-14.59,-9.99,1.791,5,5A14,-11.26
7,ligand_5808,-14.59,-11.494,-10.82,-14.59,-9.99,1.791,5,5IF1,-9.99
7,ligand_5808,-14.59,-11.494,-10.82,-14.59,-9.99,1.791,5,1W98,-10.82
8,ligand_339,-10.21,-11.456,-11.43,-12.4,-10.32,0.78,5,1VYW,-11.9
8,ligand_339,-10.21,-11.456,-11.43,-12.4,-10.32,0.78,5,7RWF,-12.4
8,ligand_339,-10.21,-11.456,-11.43,-12.4,-10.32,0.78,5,5A14,-11.43
8,ligand_339,-10.21,-11.456,-11.43,-12.4,-10.32,0.78,5,5IF1,-10.32
8,ligand_339,-10.21,-11.456,-11.43,-12.4,-10.32,0.78,5,1W98,-11.23
9,ligand_2126,-11.92,-11.454,-11.44,-12.38,-10.31,0.774,5,1VYW,-11.89
9,ligand_2126,-11.92,-11.454,-11.44,-12.38,-10.31,0.774,5,7RWF,-12.38
9,ligand_2126,-11.92,-11.454,-11.44,-12.38,-10.31,0.774,5,5A14,-11.44
9,ligand_2126,-11.92,-11.454,-11.44,-12.38,-10.31,0.774,5,5IF1,-10.31
9,ligand_2126,-11.92,-11.454,-11.44,-12.38,-10.31,0.774,5,1W98,-11.25
10,ligand_4318,-14.14,-11.2,-10.97,-14.24,-9.56,1.832,5,1VYW,-14.24
10,ligand_4318,-14.14,-11.2,-10.97,-14.24,-9.56,1.832,5,7RWF,-9.56
10,ligand_4318,-14.14,-11.2,-10.97,-14.24,-9.56,1.832,5,5A14,-10.97
