Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,1VYW,7RWF,5A14,5IF1,1W98
1,ligand_4648,-10.19,-12.49,-12.59,-15.17,-10.21,1.816,5,-12.82,-15.17,-12.59,-10.21,-11.66
2,ligand_4817,-10.19,-12.058,-11.62,-14.84,-10.23,1.722,5,-12.28,-14.84,-11.32,-10.23,-11.62
3,ligand_7444,-11.12,-11.814,-11.16,-13.95,-10.75,1.382,5,-11.16,-13.95,-12.45,-10.75,-10.76
4,ligand_4647,-14.74,-11.702,-11.16,-14.8,-10.11,1.796,5,-14.8,-11.16,-11.31,-10.11,-11.13
5,ligand_4348,-12.39,-11.632,-11.78,-12.5,-10.33,0.9,5,-12.38,-12.5,-11.78,-10.33,-11.17
6,ligand_591,-12.89,-11.531,-12.03,-13.11,-9.63,1.501,5,-13.11,-12.59,-12.03,-10.29,-9.63
7,ligand_5808,-14.59,-11.494,-10.82,-14.59,-9.99,1.791,5,-14.59,-10.81,-11.26,-9.99,-10.82
8,ligand_339,-10.21,-11.456,-11.43,-12.4,-10.32,0.78,5,-11.9,-12.4,-11.43,-10.32,-11.23
9,ligand_2126,-11.92,-11.454,-11.44,-12.38,-10.31,0.774,5,-11.89,-12.38,-11.44,-10.31,-11.25
10,ligand_4318,-14.14,-11.2,-10.97,-14.24,-9.56,1.832,5,-14.24,-9.56,-10.97,-10,-11.23
11,ligand_5336,-12.59,-11.138,-10.8,-12.43,-9.65,1.132,5,-12.43,-10.8,-10.7,-9.65,-12.11
12,ligand_5600,-14.12,-11.087,-10.81,-14.16,-9.66,1.806,5,-14.16,-9.66,-10.81,-9.88,-10.93
13,ligand_1868,-11.5,-10.498,-10.58,-13.04,-8.58,1.883,5,-11.52,-13.04,-10.58,-8.78,-8.58
14,ligand_5635,-11.62,-10.493,-10.05,-12.58,-8.6,1.604,5,-11.65,-9.58,-12.58,-8.6,-10.05
15,ligand_5694,-10.73,-10.352,-10.78,-12.34,-8.16,1.876,5,-10.78,-11.84,-12.34,-8.16,-8.65
16,ligand_4180,-10.1,-10.126,-10.13,-11.92,-8.26,1.478,5,-10.13,-11.17,-11.92,-8.26,-9.15
17,ligand_4860,-11.19,-10.091,-9.914,-12.15,-8.09,1.617,5,-11.19,-9.11,-12.15,-8.09,-9.91
18,ligand_3510,-10.93,-10.038,-10.62,-12.04,-8.03,1.675,5,-10.91,-12.04,-10.62,-8.03,-8.59
19,ligand_1637,-11.34,-10.02,-10.05,-11.24,-9.13,0.911,5,-11.24,-9.14,-10.54,-9.13,-10.05
20,ligand_7225,-10.71,-9.985,-10.35,-10.7,-8.57,0.895,5,-10.7,-10.66,-10.35,-8.57,-9.64
