Ligand,Affinity
ligand_1,-6.053
ligand_2,-8.759
ligand_3,-6.093
ligand_4,-8.362
ligand_5,-7.383
ligand_6,-5.82
ligand_7,-6.643
ligand_8,-4.354
ligand_9,-8.071
ligand_10,-7.803
ligand_11,-7.515
ligand_12,-7.303
ligand_13,-7.124
ligand_14,-4.35
ligand_15,-5.269
ligand_16,-8.546
ligand_17,-2.552
ligand_18,-6.693
ligand_19,-8.102
ligand_20,-7.855
ligand_21,-6.122
ligand_22,-8.401
ligand_23,-6.5
ligand_24,-6.141
ligand_25,-5.806
ligand_26,-9.259
ligand_27,-9.098
ligand_28,-7.248
ligand_29,-9.349
ligand_30,-8.432
ligand_31,-8.407
ligand_32,-7.141
ligand_33,-8.444
ligand_34,-9.604
ligand_35,-7.685
ligand_36,-3.604
ligand_37,-6.711
ligand_38,-9.467
ligand_39,-7.158
ligand_40,-6.77
ligand_41,-7.672
ligand_42,-7.661
ligand_43,-7.374
ligand_44,-8.581
ligand_45,-9.46
ligand_46,-6.989
ligand_47,-6.955
ligand_48,-7.358
ligand_49,-8.276
ligand_50,-10.5
ligand_51,-3.224
ligand_52,-7.769
ligand_53,-6.436
ligand_54,-7.445
ligand_55,-8.855
ligand_56,-9.135
ligand_57,-4.713
ligand_58,-6.69
ligand_59,-6.547
ligand_60,-5.711
ligand_61,-8.902
ligand_62,-9.636
ligand_63,-8.753
ligand_64,-8.337
ligand_65,-10.1
ligand_66,-9.622
ligand_67,-0.152
ligand_68,-6.027
ligand_69,-8.377
ligand_70,-7.362
ligand_71,-6.95
ligand_72,-7.76
ligand_73,-8.293
ligand_74,-6.745
ligand_75,-8.045
ligand_76,-7.598
ligand_77,-1.802
ligand_78,-5.867
ligand_79,-9.625
ligand_80,-7.164
ligand_81,-9.165
ligand_82,-8.288
ligand_83,-6.939
ligand_84,-8.287
ligand_85,-8.035
ligand_86,-8.926
ligand_87,-11.45
ligand_88,-8.252
ligand_89,-9.222
ligand_90,-4.5
ligand_91,-8.814
ligand_92,-10.97
ligand_93,-9.427
ligand_94,-4.085
ligand_95,-4.903
ligand_96,-8.293
ligand_97,-6.055
ligand_98,-2.229
ligand_99,-6.79
ligand_100,-7.654
ligand_101,-9.144
ligand_102,-8.901
ligand_103,-9.509
ligand_104,-3.849
ligand_105,-9.914
ligand_106,-5.422
ligand_107,-9.633
ligand_108,-9.434
ligand_109,-5.812
ligand_110,-6.662
ligand_111,-4.718
ligand_112,-10.31
ligand_113,-5.474
ligand_114,-7.914
ligand_115,-6.776
ligand_116,-6.303
ligand_117,-5.305
ligand_118,-6.829
ligand_119,-8.398
ligand_120,-9.603
ligand_121,-5.704
ligand_122,-4.896
ligand_123,-6.667
ligand_124,-9.927
ligand_125,-4.599
ligand_126,-9.759
ligand_127,-6.917
ligand_128,-8.397
ligand_129,-3.38
ligand_130,-8.92
ligand_131,-5.992
ligand_132,-5.921
ligand_133,-8.542
ligand_134,-8.81
ligand_135,-6.513
ligand_136,-8.842
ligand_137,-5.565
ligand_138,-8.045
ligand_139,-5.276
ligand_140,-8.536
ligand_141,-6.522
ligand_142,-7.332
ligand_143,-9.146
ligand_144,-9.35
ligand_145,-8.401
ligand_146,-7.111
ligand_147,-5.037
ligand_148,-6.627
ligand_149,-8.587
ligand_150,-8.436
ligand_151,-7.171
ligand_152,-10.11
ligand_153,-6.678
ligand_154,-8.364
ligand_155,-6.536
ligand_156,-9.913
ligand_157,-6.152
ligand_158,-4.991
ligand_159,-7.184
ligand_160,-6.879
ligand_161,-6.056
ligand_162,-9.901
ligand_163,-8.683
ligand_164,-7.688
ligand_165,-7.095
ligand_166,-6.174
ligand_167,-6.086
ligand_168,-4.892
ligand_169,-4.744
ligand_170,-6.883
ligand_171,-9.491
ligand_172,-8.07
ligand_173,-9.147
ligand_174,-6.666
ligand_175,-4.95
ligand_176,-7.15
ligand_177,-5.806
ligand_178,-6.911
ligand_179,-9.35
ligand_180,-7.63
ligand_181,-5.118
ligand_182,-6.792
ligand_183,-4.158
ligand_184,-9.016
ligand_185,-5.844
ligand_186,-7.137
ligand_187,-3.811
ligand_188,-3.06
ligand_189,-10.83
ligand_190,-6.602
ligand_191,-6.607
ligand_192,-7.006
ligand_193,-6.238
ligand_194,-7.752
ligand_195,-7.373
ligand_196,-6.206
ligand_197,-7.353
ligand_198,-7.39
ligand_199,-7.787
ligand_200,-4.643
ligand_201,-4.857
ligand_202,-5.652
ligand_203,-9.856
ligand_204,-9.401
ligand_205,-9.07
ligand_206,-9.115
ligand_207,-6.009
ligand_208,-7.631
ligand_209,-9.262
ligand_210,-8.719
ligand_211,-9.718
ligand_212,-5.027
ligand_213,-5.745
ligand_214,-6.091
ligand_215,-7.528
ligand_216,-10.76
ligand_217,-10.17
ligand_218,-7.724
ligand_219,-8.008
ligand_220,-2.963
ligand_221,-8.125
ligand_222,-9.761
ligand_223,-3.915
ligand_224,-7.214
ligand_225,-6.533
ligand_226,-6.738
ligand_227,-4.467
ligand_228,-6.095
ligand_229,-9.189
ligand_230,-8.203
ligand_231,-6.1
ligand_232,-8.156
ligand_233,-8.043
ligand_234,-7.543
ligand_235,-9.362
ligand_236,-6.485
ligand_237,-6.325
ligand_238,-7.628
ligand_239,-9.153
ligand_240,-7.783
ligand_241,-7.369
ligand_242,-3.528
ligand_243,-4.974
ligand_244,-9.312
ligand_245,-4.999
ligand_246,-6.556
ligand_247,-9.008
ligand_248,-6.396
ligand_249,-5.058
ligand_250,-9.172
ligand_251,-7.802
ligand_252,-7.467
ligand_253,-9.31
ligand_254,-4.869
ligand_255,-7.05
ligand_256,-7.202
ligand_257,-7.353
ligand_258,-8.071
ligand_259,-6.018
ligand_260,-5.571
ligand_261,-6.718
ligand_262,-7.293
ligand_263,-7.357
ligand_264,-4.959
ligand_265,-7.733
ligand_266,-6.424
ligand_267,-8.449
ligand_268,-4.781
ligand_269,-9.421
ligand_270,-6.857
ligand_271,-8.103
ligand_272,-7.671
ligand_273,-6.028
ligand_274,-8.73
ligand_275,-6.059
ligand_276,-8.885
ligand_277,-8.4
ligand_278,-6.632
ligand_279,-6.447
ligand_280,-8.536
ligand_281,-9.076
ligand_282,-7.124
ligand_283,-6.41
ligand_284,-5.216
ligand_285,-9.258
ligand_286,-9.654
ligand_287,-7.511
ligand_288,-7.043
ligand_289,-7.344
ligand_290,-5.735
ligand_291,-8.175
ligand_292,-6.71
ligand_293,-8.589
ligand_294,-8.824
ligand_295,-8.876
ligand_296,-6.67
ligand_297,-7.144
ligand_298,-9.167
ligand_299,-6.667
ligand_300,-7.069
ligand_301,-7.012
ligand_302,-8.488
ligand_303,-9.446
ligand_304,-7.12
ligand_305,-8.84
ligand_306,-7.09
ligand_307,-8.076
ligand_308,-7.4
ligand_309,-3.34
ligand_310,-9.841
ligand_311,-6.673
ligand_312,-6.035
ligand_313,-7.177
ligand_314,-6.695
ligand_315,-7.573
ligand_316,-8.263
ligand_317,-6.826
ligand_318,-6.279
ligand_319,-9.9
ligand_320,-7.352
ligand_321,-7.016
ligand_322,-6.723
ligand_323,-6.727
ligand_324,-6.71
ligand_325,-6.186
ligand_326,-3.419
ligand_327,-5.907
ligand_328,-5.151
ligand_329,-7.71
ligand_330,-5.886
ligand_331,-8.029
ligand_332,-6.398
ligand_333,-4.767
ligand_334,-6.961
ligand_335,-6.473
ligand_336,-4.952
ligand_337,-8.718
ligand_338,-6.894
ligand_339,-10.21
ligand_340,-6.011
ligand_341,-5.957
ligand_342,-8.872
ligand_343,-8.709
ligand_344,-8.382
ligand_345,-10.15
ligand_346,-8.21
ligand_347,-6.501
ligand_348,-5.06
ligand_349,-5.561
ligand_350,-5.84
ligand_351,-4.464
ligand_352,-6.01
ligand_353,-7.782
ligand_354,-9.363
ligand_355,-7.714
ligand_356,-9.834
ligand_357,-6.445
ligand_358,-6.19
ligand_359,-6.463
ligand_360,-6.961
ligand_361,-6.861
ligand_362,-6.758
ligand_363,-8.17
ligand_364,-9.6
ligand_365,-7.079
ligand_366,-4.197
ligand_367,-6.601
ligand_368,-6.414
ligand_369,-7.739
ligand_370,-6.863
ligand_371,-10.5
ligand_372,-8.429
ligand_373,-4.397
ligand_374,-7.781
ligand_375,-8.797
ligand_376,-9.913
ligand_377,-8.935
ligand_378,-7.255
ligand_379,-8.941
ligand_380,-8.313
ligand_381,-11.2
ligand_382,-10.23
ligand_383,-5.654
ligand_384,-6.439
ligand_385,-6.53
ligand_386,-5.811
ligand_387,-7.227
ligand_388,-8.285
ligand_389,-6.536
ligand_390,-8.97
ligand_391,-7.947
ligand_392,-7.055
ligand_393,-8.106
ligand_394,-6.761
ligand_395,-5.565
ligand_396,-4.487
ligand_397,-7.415
ligand_398,-9.086
ligand_399,-8.412
ligand_400,-6.809
ligand_401,-8.606
ligand_402,-8.7
ligand_403,-9.508
ligand_404,-6.363
ligand_405,-7.909
ligand_406,-9.084
ligand_407,-8.274
ligand_408,-6.682
ligand_409,-7.375
ligand_410,-5.651
ligand_411,-10.63
ligand_412,-6.221
ligand_413,-7.849
ligand_414,-9.222
ligand_415,-8.409
ligand_416,-6.425
ligand_417,-9.424
ligand_418,-8.756
ligand_419,-7.511
ligand_420,-8.635
ligand_421,-4.167
ligand_422,-9.765
ligand_423,-5.603
ligand_424,-6.74
ligand_425,-6.398
ligand_426,-7.95
ligand_427,-8.846
ligand_428,-9.936
ligand_429,-8.963
ligand_430,-9.01
ligand_431,-6.818
ligand_432,-6.332
ligand_433,-5.841
ligand_434,-6.773
ligand_435,-5.595
ligand_436,-5.4
ligand_437,-6.652
ligand_438,-7.554
ligand_439,-7.6
ligand_440,-8.567
ligand_441,-6.22
ligand_442,-4.116
ligand_443,-10.34
ligand_444,-7.218
ligand_445,-6.423
ligand_446,-7.352
ligand_447,-8.499
ligand_448,-5.032
ligand_449,-8.522
ligand_450,-5.864
ligand_451,-8.107
ligand_452,-7.553
ligand_453,-6.425
ligand_454,-7.592
ligand_455,-7.717
ligand_456,-8.953
ligand_457,-6.445
ligand_458,-6.779
ligand_459,-6.419
ligand_460,-7.134
ligand_461,-5.65
ligand_462,-6.525
ligand_463,-10.03
ligand_464,-8.965
ligand_465,-5.717
ligand_466,-8.537
ligand_467,-6.196
ligand_468,-9.166
ligand_469,-10.22
ligand_470,-9.013
ligand_471,-8.341
ligand_472,-8.271
ligand_473,-8.451
ligand_474,-5.987
ligand_475,-7.967
ligand_476,-7.56
ligand_477,-7.515
ligand_478,-6.425
ligand_479,-7.354
ligand_480,-4.389
ligand_481,-8.211
ligand_482,-5.222
ligand_483,-7.357
ligand_484,-5.191
ligand_485,-9.387
ligand_486,-10.82
ligand_487,-5.075
ligand_488,-7.038
ligand_489,-8.477
ligand_490,-6.44
ligand_491,-6.914
ligand_492,-7.251
ligand_493,-5.9
ligand_494,-6.597
ligand_495,-8.191
ligand_496,-7.918
ligand_497,-9.457
ligand_498,-6.436
ligand_499,-5.789
ligand_500,-7.753
ligand_501,-9.267
ligand_502,-6.199
ligand_503,-8.5
ligand_504,-6.378
ligand_505,-7.571
ligand_506,-7.893
ligand_507,-6.91
ligand_508,-8.113
ligand_509,-5.289
ligand_510,-7.727
ligand_511,-8.556
ligand_512,-5.002
ligand_513,-7.082
ligand_514,-6.775
ligand_515,-5.877
ligand_516,-5.597
ligand_517,-7.359
ligand_518,-6.101
ligand_519,-8.715
ligand_520,-7.407
ligand_521,-7.977
ligand_522,-6.385
ligand_523,-6.302
ligand_524,-6.123
ligand_525,-8.982
ligand_526,-6.778
ligand_527,-7.109
ligand_528,-11.33
ligand_529,-7.314
ligand_530,-8.608
ligand_531,-6.339
ligand_532,-7.471
ligand_533,-7.456
ligand_534,-2.515
ligand_535,-3.941
ligand_536,-7.909
ligand_537,-6.143
ligand_538,-9.929
ligand_539,-6.658
ligand_540,-8.912
ligand_541,-9.009
ligand_542,-6.423
ligand_543,-6.27
ligand_544,-8.231
ligand_545,-6.335
ligand_546,-7.809
ligand_547,-5.989
ligand_548,-9.302
ligand_549,-7.591
ligand_550,-6.935
ligand_551,-6.798
ligand_552,-6.377
ligand_553,-7.7
ligand_554,-6.311
ligand_555,-7.334
ligand_556,-9.78
ligand_557,-7.427
ligand_558,-7.428
ligand_559,-6.491
ligand_560,-6.606
ligand_561,-9.505
ligand_562,-6.501
ligand_563,-9.308
ligand_564,-8.863
ligand_565,-7.106
ligand_566,-4.927
ligand_567,-9.68
ligand_568,-6.15
ligand_569,-2.644
ligand_570,-6.997
ligand_571,-5.198
ligand_572,-6
ligand_573,-3.602
ligand_574,-7.774
ligand_575,-7.782
ligand_576,-5.338
ligand_577,-6.006
ligand_578,-3.327
ligand_579,-6.657
ligand_580,-6.697
ligand_581,-8.022
ligand_582,-3.828
ligand_583,-6.001
ligand_584,-8.109
ligand_585,-8.043
ligand_586,-7.458
ligand_587,-8.253
ligand_588,-9.007
ligand_589,-7.109
ligand_590,-9.174
ligand_591,-12.89
ligand_592,-5.945
ligand_593,-9.339
ligand_594,-8.369
ligand_595,-4.386
ligand_596,-8.895
ligand_597,-9.541
ligand_598,-8.098
ligand_599,-6.236
ligand_600,-7.702
ligand_601,-6.042
ligand_602,-8.311
ligand_603,-7.789
ligand_604,-5.893
ligand_605,-7.523
ligand_606,-6.871
ligand_607,-6.5
ligand_608,-6.718
ligand_609,-7.341
ligand_610,-7.656
ligand_611,-7.646
ligand_612,-5.682
ligand_613,-8.45
ligand_614,-8.415
ligand_615,-10.05
ligand_616,-5.148
ligand_617,-7.987
ligand_618,-5.952
ligand_619,-8.25
ligand_620,-4.957
ligand_621,-5.895
ligand_622,-6.184
ligand_623,-6.858
ligand_624,-6.805
ligand_625,-10.12
ligand_626,-9.99
ligand_627,-8.878
ligand_628,-8.303
ligand_629,-4.331
ligand_630,-4.837
ligand_631,-9.92
ligand_632,-9.002
ligand_633,-7.495
ligand_634,-8.185
ligand_635,-8.459
ligand_636,-9.04
ligand_637,-7.318
ligand_638,-6.144
ligand_639,-8.802
ligand_640,-5.716
ligand_641,-8.712
ligand_642,-8.551
ligand_643,-6.676
ligand_644,-3.285
ligand_645,-7.137
ligand_646,-5.511
ligand_647,-5.155
ligand_648,-8.566
ligand_649,-9.164
ligand_650,-9.371
ligand_651,-4.797
ligand_652,-6.303
ligand_653,-4.655
ligand_654,-3.956
ligand_655,-8.565
ligand_656,-6.774
ligand_657,-7.597
ligand_658,-6.938
ligand_659,-6.595
ligand_660,-10.73
ligand_661,-7.21
ligand_662,-8.591
ligand_663,-4.152
ligand_664,-8.521
ligand_665,-7.603
ligand_666,-5.828
ligand_667,-6.988
ligand_668,-8.121
ligand_669,-6.008
ligand_670,-6.608
ligand_671,-6.742
ligand_672,-5.706
ligand_673,-8.16
ligand_674,-6.56
ligand_675,-8.266
ligand_676,-8.682
ligand_677,-10.65
ligand_678,-9.458
ligand_679,-9.67
ligand_680,-7.424
ligand_681,-4.656
ligand_682,-4.013
ligand_683,-7.321
ligand_684,-8.291
ligand_685,-7.891
ligand_686,-6.03
ligand_687,-8.058
ligand_688,-6.364
ligand_689,-7.942
ligand_690,-6.576
ligand_691,-6.151
ligand_692,-7.958
ligand_693,-5.78
ligand_694,-10.3
ligand_695,-8.15
ligand_696,-9.008
ligand_697,-7.711
ligand_698,-9.701
ligand_699,-7.447
ligand_700,-10.17
ligand_701,-8.572
ligand_702,-8.726
ligand_703,-8.612
ligand_704,-6.498
ligand_705,-8.914
ligand_706,-5.7
ligand_707,-6.606
ligand_708,-7.571
ligand_709,-7.762
ligand_710,-3.628
ligand_711,-5.88
ligand_712,-5.719
ligand_713,-3.859
ligand_714,-7.705
ligand_715,-8.747
ligand_716,-7.51
ligand_717,-4.702
ligand_718,-7.162
ligand_719,-4.422
ligand_720,-7.63
ligand_721,-7.19
ligand_722,-4.328
ligand_723,-8.577
ligand_724,-6.308
ligand_725,-4.858
ligand_726,-8.718
ligand_727,-6.76
ligand_728,-7.358
ligand_729,-8.232
ligand_730,-6.466
ligand_731,-5.902
ligand_732,-6.274
ligand_733,-7.352
ligand_734,-6.287
ligand_735,-9.601
ligand_736,-8.826
ligand_737,-7.324
ligand_738,-9.202
ligand_739,-6.642
ligand_740,-9.726
ligand_741,-6.263
ligand_742,-7.424
ligand_743,-7.505
ligand_744,-9.168
ligand_745,-8.703
ligand_746,-5.272
ligand_747,-8.527
ligand_748,-9.268
ligand_749,-7.356
ligand_750,-8.477
ligand_751,-8.907
ligand_752,-9.069
ligand_753,-6.265
ligand_754,-4.532
ligand_755,-7.101
ligand_756,-3.143
ligand_757,-6.679
ligand_758,-6.525
ligand_759,-7.24
ligand_760,-6.044
ligand_761,-5.38
ligand_762,-5.499
ligand_763,-7.66
ligand_764,-7.933
ligand_765,-5.763
ligand_766,-7.555
ligand_767,-6.325
ligand_768,-7.343
ligand_769,-7.003
ligand_770,-9.384
ligand_771,-5.751
ligand_772,-7.758
ligand_773,-5.149
ligand_774,-7.727
ligand_775,-8.223
ligand_776,-7.409
ligand_777,-6.709
ligand_778,-5.159
ligand_779,-6.64
ligand_780,-10.54
ligand_781,-5.38
